temperature,pressure,gas,delta,days_to_ripe
34.69,808.74,1169,-9,6
34.68,808.72,1205,27,3
34.68,808.74,1172,-6,6
34.69,808.74,1195,17,3
34.69,808.76,1200,22,3
34.7,808.74,1197,19,3
34.69,808.74,1182,4,6
34.7,808.77,1206,28,3
34.7,808.76,1204,26,3
34.7,808.77,1206,28,3
34.7,808.76,1207,29,3
34.7,808.76,1191,13,3
34.71,808.75,1206,28,3
34.71,808.77,1202,24,3
34.71,808.78,1202,24,3
34.71,808.77,1184,6,6
34.7,808.76,1187,9,3
34.7,808.77,1190,12,3
34.7,808.78,1173,-5,6
34.69,808.76,1182,4,6
34.69,808.73,1182,4,6
34.69,808.73,1199,21,3
34.7,808.72,1190,12,3
34.69,808.72,1203,25,3
34.69,808.74,1200,22,3
34.7,808.75,1178,0,6
34.69,808.74,1187,9,3
34.71,808.76,1220,42,1
34.71,808.71,1179,1,6
34.7,808.76,1181,3,6
34.71,808.75,1198,20,3
34.71,808.77,1189,11,3
34.71,808.77,1205,27,3
34.71,808.77,1256,78,1
34.71,808.75,1208,30,1
34.7,808.76,1245,67,1
34.71,808.75,1213,35,1
34.71,808.74,1223,45,1
34.71,808.75,1213,35,1
34.71,808.74,1259,81,1
34.71,808.75,1226,48,1
34.71,808.76,1213,35,1
34.72,808.76,1224,46,1
34.72,808.77,1198,20,3
34.72,808.76,1236,58,1
34.73,808.77,1252,74,1
34.73,808.77,1221,43,1
34.73,808.79,1239,61,1
34.73,808.79,1223,45,1
34.74,808.8,1256,78,1
34.74,808.77,1244,66,1
34.74,808.78,1231,53,1
34.73,808.79,1226,48,1
34.74,808.8,1226,48,1
34.74,808.77,1235,57,1
34.75,808.8,1242,64,1
34.75,808.79,1267,89,1
34.74,808.79,1241,63,1
34.74,808.78,1253,75,1
34.75,808.79,1238,60,1
34.75,808.79,1244,66,1
34.75,808.79,1266,88,1
34.75,808.8,1256,78,1
34.73,808.78,1256,78,1
34.74,808.78,1236,58,1
34.74,808.79,1260,82,1
34.74,808.81,1246,68,1
34.74,808.76,1244,66,1
34.74,808.8,1231,53,1
34.74,808.79,1282,104,1
34.75,808.78,1278,100,1
34.76,808.81,1251,73,1
34.74,808.79,1251,73,1
34.75,808.81,1261,83,1
35.55,809.67,1903,-1,6
35.55,809.69,1903,-1,6
35.56,809.71,1900,-4,6
35.57,809.69,1898,-6,6
35.57,809.72,1899,-5,6
35.59,809.73,1898,-6,6
35.58,809.73,1888,-16,6
35.59,809.72,1892,-12,6
35.59,809.72,1890,-14,6
35.59,809.73,1890,-14,6
35.57,809.71,1894,-10,6
35.58,809.71,1896,-8,6
35.59,809.72,1901,-3,6
35.6,809.72,1902,-2,6
35.61,809.75,1898,-6,6
35.62,809.76,1899,-5,6
35.63,809.76,1900,-4,6
35.64,809.77,1893,-11,6
35.63,809.76,1893,-11,6
35.62,809.75,1891,-13,6
35.62,809.76,1893,-11,6
35.6,809.73,1896,-8,6
35.58,809.71,1895,-9,6
35.54,809.67,1894,-10,6
35.52,809.64,1875,-29,6
35.53,809.65,1881,-23,6
35.53,809.66,1882,-22,6
35.52,809.66,1889,-15,6
35.51,809.65,1897,-7,6
35.51,809.66,1901,-3,6
35.52,809.6,1901,-3,6
35.55,809.69,1897,-7,6
35.56,809.7,1902,-2,6
35.55,809.69,1900,-4,6
35.56,809.69,1896,-8,6
35.58,809.71,1896,-8,6
35.59,809.74,1897,-7,6
35.58,809.73,1896,-8,6
35.58,809.75,1888,-16,6
35.59,809.73,1894,-10,6
35.59,809.74,1888,-16,6
35.6,809.74,1890,-14,6
35.6,809.73,1891,-13,6
35.61,809.76,1883,-21,6
35.6,809.76,1872,-32,6
35.61,809.76,1875,-29,6
35.61,809.78,1879,-25,6
35.61,809.76,1869,-35,6
35.61,809.76,1870,-34,6
35.61,809.75,1869,-35,6
35.6,809.76,1875,-29,6
35.59,809.73,1883,-21,6
35.56,809.7,1882,-22,6
35.55,809.69,1884,-20,6
35.54,809.68,1890,-14,6
35.54,809.68,1888,-16,6
35.56,809.7,1889,-15,6
34.06,807.97,2182,1,6
34.06,808.03,2184,3,6
34.06,808.0,2177,-4,6
34.06,807.95,2168,-13,6
34.05,807.99,2131,-50,6
34.04,807.99,2130,-51,6
34.05,807.96,2156,-25,6
34.05,807.99,2167,-14,6
34.06,807.99,2169,-12,6
34.06,808.02,2166,-15,6
34.07,808.01,2169,-12,6
34.07,808.01,2162,-19,6
34.07,808.01,2159,-22,6
34.07,808.05,2169,-12,6
34.06,808.0,2163,-18,6
34.06,808.01,2145,-36,6
34.06,808.02,2159,-22,6
34.05,807.98,2154,-27,6
34.05,807.97,2156,-25,6
34.05,808.0,2158,-23,6
34.05,807.99,2158,-23,6
34.04,808.01,2128,-53,6
34.04,808.0,2132,-49,6
34.04,807.98,2153,-28,6
34.04,807.99,2147,-34,6
34.04,807.98,2131,-50,6
34.04,807.98,2144,-37,6
34.05,808.02,2153,-28,6
34.05,808.0,2148,-33,6
34.05,808.0,2139,-42,6
34.05,808.0,2139,-42,6
34.05,807.98,2138,-43,6
34.05,807.98,2104,-77,6
34.04,808.01,2119,-62,6
34.04,808.0,2120,-61,6
34.05,807.99,2132,-49,6
34.04,807.98,2131,-50,6
34.03,807.97,2124,-57,6
34.03,807.96,2117,-64,6
34.03,807.98,2125,-56,6
34.04,807.97,2146,-35,6
34.04,807.99,2155,-26,6
34.05,808.0,2161,-20,6
34.04,807.98,2152,-29,6
34.04,808.0,2148,-33,6
34.04,807.99,2143,-38,6
34.04,807.98,2134,-47,6
34.04,807.98,2150,-31,6
